                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5651,                 1.9372,                 1.3592,                0.63943,                0.43452,                0.47126,                0.24603,                 1.7003,                 1.9496,                 1.4757,              0.0005517,              0.0005517,              0.0005517
                      2,                 1.6923,                  1.717,                 1.4761,                0.59986,                0.41774,                0.44506,                0.22643,                 1.7734,                 1.7697,                 1.5826,             0.00099774,             0.00099774,             0.00099774
                      3,                 1.7258,                 1.6607,                 1.5156,                0.58478,                0.44209,                0.46771,                0.23301,                 1.7723,                  1.727,                 1.5454,              0.0013338,              0.0013338,              0.0013338
                      4,                 1.7324,                 1.6069,                 1.5212,                0.64132,                0.48456,                0.52816,                0.27625,                 1.7087,                 1.5557,                 1.4903,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.6739,                 1.5034,                 1.4925,                0.63654,                0.51377,                0.55799,                0.31011,                 1.6238,                  1.426,                 1.4288,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.6218,                 1.4171,                 1.4474,                0.68546,                0.54069,                0.59848,                0.33232,                 1.6023,                 1.3382,                 1.4002,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.5915,                  1.336,                 1.4214,                0.69439,                0.56758,                0.62136,                 0.3561,                 1.5269,                 1.2555,                 1.3743,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.5408,                 1.2689,                 1.3926,                 0.7055,                0.58241,                 0.6459,                0.37978,                 1.4777,                 1.1839,                 1.3319,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.5003,                 1.2179,                 1.3683,                0.74834,                0.58884,                0.66455,                0.39467,                 1.4581,                 1.1515,                 1.3095,             0.00034674,             0.00034674,             0.00034674
                     10,                 1.4737,                 1.1765,                 1.3366,                0.74481,                0.60507,                0.67944,                0.41535,                 1.4075,                 1.0829,                 1.2798,              0.0001817,              0.0001817,              0.0001817
