                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5304,                 1.7995,                 1.3403,                0.63415,                0.47801,                0.51204,                0.26944,                 1.6504,                  1.713,                  1.461,              0.0005517,              0.0005517,              0.0005517
                      2,                 1.6081,                 1.5665,                 1.4194,                0.59247,                0.43554,                0.46296,                0.22786,                 1.8144,                 1.8159,                 1.5834,              0.0010635,              0.0010635,              0.0010635
                      3,                 1.6734,                 1.5933,                   1.48,                0.63056,                0.46186,                0.50622,                0.25524,                  1.775,                 1.6907,                 1.5469,              0.0015313,              0.0015313,              0.0015313
                      4,                 1.6647,                   1.54,                 1.4683,                0.57371,                 0.4617,                0.47071,                0.23386,                 1.7514,                 1.6951,                 1.5379,               0.001469,               0.001469,               0.001469
                      5,                 1.6464,                  1.503,                   1.46,                0.61705,                0.46151,                0.50147,                0.27143,                 1.6778,                 1.5493,                 1.4952,              0.0014029,              0.0014029,              0.0014029
                      6,                  1.607,                 1.4501,                 1.4446,                0.62958,                0.50089,                0.53777,                0.28308,                  1.693,                 1.5503,                 1.5025,              0.0013369,              0.0013369,              0.0013369
                      7,                 1.5953,                  1.401,                 1.4325,                0.65485,                0.51449,                0.56893,                0.30811,                 1.6437,                 1.3805,                  1.438,              0.0012709,              0.0012709,              0.0012709
                      8,                 1.5604,                 1.3544,                 1.4063,                0.67724,                0.54861,                0.60023,                0.33825,                  1.575,                 1.3215,                 1.4021,              0.0012049,              0.0012049,              0.0012049
                      9,                  1.549,                 1.3374,                 1.4057,                0.69469,                0.55514,                0.60467,                0.33962,                 1.5441,                 1.2868,                 1.3778,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.5347,                 1.3007,                 1.3812,                0.71472,                0.55981,                0.62319,                0.35858,                 1.5249,                 1.2192,                 1.3616,              0.0010729,              0.0010729,              0.0010729
                     11,                 1.5086,                 1.2726,                 1.3728,                0.69278,                0.57409,                0.62736,                0.35812,                 1.5247,                 1.2206,                 1.3612,              0.0010069,              0.0010069,              0.0010069
                     12,                 1.4828,                 1.2493,                 1.3553,                0.72631,                0.55964,                0.63417,                0.36837,                  1.507,                 1.2083,                 1.3434,             0.00094085,             0.00094085,             0.00094085
                     13,                 1.5029,                 1.2457,                 1.3603,                 0.7368,                0.59045,                0.66251,                0.38921,                 1.4655,                 1.1464,                 1.3194,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.4743,                  1.212,                 1.3495,                0.72851,                0.59363,                 0.6628,                 0.3917,                 1.4546,                 1.1511,                 1.3095,             0.00080883,             0.00080883,             0.00080883
                     15,                 1.4601,                 1.1927,                 1.3334,                0.73828,                0.60728,                0.67497,                0.40191,                 1.4393,                 1.1002,                 1.3037,             0.00074282,             0.00074282,             0.00074282
                     16,                 1.5126,                 1.2095,                 1.3669,                0.73364,                0.58563,                0.66009,                0.39674,                 1.4431,                 1.1223,                 1.2975,              0.0006768,              0.0006768,              0.0006768
                     17,                 1.4741,                 1.1511,                 1.3382,                0.74854,                0.59749,                0.67417,                0.40367,                 1.4461,                 1.0892,                   1.29,             0.00061079,             0.00061079,             0.00061079
                     18,                 1.4588,                 1.1368,                  1.329,                0.74517,                0.61528,                0.69048,                0.41782,                 1.4167,                 1.0526,                  1.289,             0.00054478,             0.00054478,             0.00054478
                     19,                 1.4412,                 1.1036,                 1.3177,                0.75524,                0.62523,                 0.6977,                0.42631,                 1.3858,                 1.0341,                 1.2662,             0.00047876,             0.00047876,             0.00047876
                     20,                 1.4253,                 1.0803,                 1.3108,                0.75212,                0.62892,                0.70625,                0.43869,                 1.3633,                 1.0112,                 1.2454,             0.00041275,             0.00041275,             0.00041275
                     21,                 1.4114,                 1.0578,                 1.2963,                0.77447,                0.64215,                0.71543,                0.44642,                 1.3517,                0.98132,                 1.2415,             0.00034674,             0.00034674,             0.00034674
                     22,                 1.3926,                 1.0429,                 1.2888,                0.77045,                0.64251,                0.71717,                0.44928,                  1.349,                0.96652,                  1.231,             0.00028072,             0.00028072,             0.00028072
                     23,                 1.3762,                 1.0115,                 1.2732,                0.78893,                0.64781,                0.72772,                0.46118,                 1.3215,                0.93953,                  1.215,             0.00021471,             0.00021471,             0.00021471
                     24,                 1.3606,                 1.0007,                 1.2657,                0.78969,                0.65751,                0.73551,                0.46333,                 1.3164,                0.93635,                 1.2142,              0.0001487,              0.0001487,              0.0001487
                     25,                 1.3424,                0.97673,                  1.254,                0.79067,                 0.6595,                0.73823,                0.47163,                 1.2986,                0.91065,                 1.1995,             8.2683e-05,             8.2683e-05,             8.2683e-05
